Cactus,piante,spine,vaso,verde,acqua,,,,,,,,,
Puntura,Droga,Siringa,Iniezione,Prelievo,Ago,,,,,,,,,
Sega,Legno,Porno,Falegname,Attrezzo,Alberi,,,,,,,,,
gatto,stivali,cane,topo,miagolare,animale,amico,uomo,fusa,gomitolo,peli,baffi,micio,,
Onda,Mare,Schiuma,Vento,Surf ,Anomala,,,,,,,,,
macchina,auto,automatica,meccanica,congegno,apparecchio,strumento,,,,,,,,
volta,carta,gabbana,pagina,gira,arco,,,,,,,,,
Gladiatore,Roma,Film,Colosseo ,Combattere,Arena,,,,,,,,,
accettare,rifiutare,invito,essere d'accordo,disponibile,ascia,sì,esito positivo,,,,,,,
luna,buio ,sole,cielo,notte,astronomia,stelle ,telescopio,,,,,,,
Cattedra,Scuola ,Professore,Classe,Insegnante ,Aula,,,,,,,,,
aggiungere,piú,sommare,diminuire,sottrarre,aumentare,incrementare,numero,ingredienti,,,,,,
Anatema,maledizione,sortilegio,incntesimo,uccide,avada kevadra,,,,,,,,,
Silente,preside,Harry Potter,Hogwarts,mago,barba,,,,,,,,,
limite,funzione,confine,permesso,mettere,barriera,stabilire,,,,,,,,
vita,morte,miracoli,nascita,tornare,bella,,,,,,,,,
latte,mucca ,scremato,lattosio,formaggio,bianco,calcio,,,,,,,,
acqua,fonte,H2O,vita,bottiglia,bicchiere,bere,liquido,sete,introdurre,mare,,,,
Informatica,Computer,Pc,Ingegneria ,Programmazione,Binario,,,,,,,,,
viso,volto,faccia,occhi,naso,bocca,cattivo,,,,,,,,
Stella,cometa,punte,sole,gialla,brillare,,,,,,,,,
Peto,Puzza ,Aria,Culo,Schifo,Cacca,,,,,,,,,
Brindisi,città,Puglia,capodanno,mezzanotte,calici,,,,,,,,,
lira,soldi,euro,valuta,vecchia,cambio,,,,,,,,,
Musica,suonare,note,strumento,spartito,canzone,,,,,,,,,
voltare,girare,macchina,strada,sterzo,capitolo,,,,,,,,,
Simpson ,Bart,Meggie,Marge,Homer,Cartone animato,,,,,,,,,
accogliere,benvenuto,lampedusa,ospitale,gentile,casa,accomodarsi,prego,,,,,,,
via,strada,civico,abitare,vai,casa,indirizzo,,,,,,,,
Principe,azzurro,ranocchio,mantello,cavallo,castello,,,,,,,,,
tavolo,gambe,legno,mangiare,sedie,cena,pranzo,,,,,,,,
Ruota,bicicletta,fortuna,gira,automobile,cerchio,,,,,,,,,
abito,monaco,vestito,elegante,indossare ,cerimonia,da sera,,,,,,,,
Cin Cin,Salute,Brindisi,Bicchieri ,Calici,Champagne ,,,,,,,,,
Sole,astro,luce,raggi,giorno,cielo,,,,,,,,,
Bologna,torri,Asinelli,Emilia Romagna,piazza Maggiore,città,,,,,,,,,
Colli,bolognesi,montagne,monti,bassi,colline,,,,,,,,,
Tulipano,Fiore,Prato,Profumo ,Olanda,Colorato,,,,,,,,,
Trottola,girare,giocattolo,legno,cono,colorato,,,,,,,,,
Ariete,segno,aprile,animale,costellazione,colpo,,,,,,,,,
vendere,comprare,acquistare,soldi,denaro,comprare,,,,,,,,,
dichiarare,ansa,dire,redditi,banca rotta,comunicare ,politico,,,,,,,,
senso,direzione,significato,opposto,contrario,concetto,,,,,,,,,
Ballo,gran,danza,sera,ricevimento,coppia,,,,,,,,,
zio,marito,sorella,fratello,parente,cugini,,,,,,,,,
zia,moglie,fratello,sorella,parente,cugini,,,,,,,,,
lanciare,tirare,sferrare,pugno,esca,dardo,lancia,freccia,spada,,,,,,
Imprevedibile ,Capire ,Pensare,Sapere,Persona,Decidere,,,,,,,,,
Pocahontas,indiana,cartone,John Smith,albero,Disney,,,,,,,,,
genere,tipo,sesso,musicale,discriminaziioni,dna,uomo,donna,maschio,femmina,,,,,
Letto ,Piazza,Lenzuola,Cuscino,Divano,Dormire,,,,,,,,,
Nucleare,reattore,nuculare,Homer,reazione,energia,,,,,,,,,
Spiderman ,Uomo ragno,Ragnatela,Arrampicarsi,Marvel,Eroe,,,,,,,,,
Cavaliere,cavallo,armatura,zodiaco,duello,esercito,,,,,,,,,
leggero,pesante,piuma,peso,kili,esile,,,,,,,,,
accadere,avvenimento,incidente,capitare,succedere,evento,,,,,,,,,
volontà,forza,motivazione,intendere,avere,fare,,,,,,,,,
differenza,razziale,somma,prodotto,divisione,fare,,,,,,,,,
sangue,freddo,rosso,globuli,vene,ferita,,,,,,,,,
Carbonio ,Chimica,Biossido,Organico,Elemento,Fibra ,,,,,,,,,
Ariel,sirenetta,mare,Ursula,fondo,Flounder,,,,,,,,,
