Leonardo,name,Italian,Engineer,Scientist,Genius,Inventor,Designer,Da Vinci,Di Caprio,Rignanese,
ambassador,emissary,representative,diplomat,envoy,delegate,ambassadorial,dignitary,mediator,go-between,
painting,art,canvas,brush,portrait,landscape,frame,impressionism,acrylic,oil,paint, art, canvas, brush, color, artist, portrait, masterpiece, frame, museum,
available, accessible, ready, obtainable, on hand, free, unoccupied, convenient, vacant, at hand,
bow, bend, curve, arc, incline, stoop, salaam, kowtow, submit, acquiesce,
ledger, bookkeeping, accountant, finance, balance sheet, journal, receipt, numbers, teller, money,
delete, erase, remove, eliminate, cancel, expunge, scrub, obliterate, erase from memory, wipe away,
car,drive,engine,transportation,wheels,vehicle,gasoline,road,accelerate,traffic,auto,
arrive, reach, get to, come, show up, appear, enter, land, pull up, touch down,
wander,ramble,roam,meander,wander,stroll,explore,tour,tramp,trek,
concern, worry, anxiety, apprehension, fear, unease, care, importance, responsibility, interest,
empower, authorize, enable, permit, allow, entitle, equip, sanction, grant, facilitate,
below, underneath, under, lesser, low, downturn, low land, low lying, low line, at the bottom,
diploma, degree, graduation, university, college, education, certificate, transcript, school, knowledge,
detain, arrest, capture, imprison, confine, jail, hold, keep, seize, apprehend,
cost, price, amount, expense, expenditure, charge, value, rate, worth, spend,
begin,start,commence,initiate,launch,undertake,originate,dawn,inaugurate,embark,
decrease, reduce, diminish, lower, cut back, lessen, shrink, contract, downsize, curtail,
hesitate, pause, waver, falter, dilly-dally, hold back, procrastinate, fluctuate, dawdle, vacillate,
panda,bear,endangered,black and white,asia,bamboo,cute,zoology,habitat,belly,roly-poly,
taco,food,mexican,meat,spicy,salsa,cheese,tortilla,beans,guacamole,fast food,
beige,color,tan,off-white,light brown,neutral,fawn,khaki,ecru,
dive, plunge, jump, submerge, immerse, descend, go underwater, leap, drop, launch,
interact, communicate, engage, connect, socialize, relate, network, mix, collaborate, team,
whiskey, alcohol, bourbon, scotch, distilled, grains, barrel, malt, Irish, drink,
ointment, cream, salve, lotion, balm, medication, medicinal, skin, remedy, healing,
submerge, sink, plunge, immerse, drown, inundate, overwhelm, engross, bury, engulf,
skyscraper,building,tall,city,office,construction,elevator,glass,architecture,view,steel,
amend,modify,fix,repair,correct,rectify,revise,alter,edit,reshape,
bathroom, restroom, powder room, lavatory, WC, shower room, spa, sink, toilet, washroom,
