Cactus,piante,spine,vaso,verde,acqua,deserto,verde,,,,,,,
Puntura,Droga,Siringa,Iniezione,Prelievo,Ago,Eroina,Zanzara,,,,,,,
gatto,stivali,cane,topo,miagolare,animale,amico,uomo,fusa,gomitolo,peli,baffi,micio,,
Onda,Mare,Schiuma,Vento,Surf,Anomala,tavola,oceano,,,,,,,
macchina,auto,automatica,meccanica,congegno,apparecchio,strumento,,,,,,,,
volta,carta,gabbana,pagina,gira,arco,,,,,,,,,
Gladiatore,Roma,Film,Colosseo,Combattere,Arena,,,,,,,,,
accettare,rifiutare,invito,essere d'accordo,disponibile,ascia,sì,esito positivo,,,,,,,
luna,buio,sole,cielo,notte,astronomia,stelle,telescopio,,,,,,,
Cattedra,Scuola,Professore,Classe,Insegnante,Aula,,,,,,,,,
aggiungere,piú,sommare,diminuire,sottrarre,aumentare,incrementare,numero,ingredienti,,,,,,
Anatema,maledizione,sortilegio,incntesimo,uccide,avada kevadra,,,,,,,,,
Silente,preside,Harry Potter,Hogwarts,mago,barba,,,,,,,,,
limite,funzione,confine,permesso,mettere,barriera,stabilire,,,,,,,,
vita,morte,miracoli,nascita,tornare,bella,,,,,,,,,
latte,mucca,scremato,lattosio,formaggio,bianco,calcio,,,,,,,,
acqua,fonte,H2O,vita,bottiglia,bicchiere,bere,liquido,sete,introdurre,mare,,,,
Informatica,Computer,Pc,Ingegneria,Programmazione,Binario,,,,,,,,,
viso,volto,faccia,occhi,naso,bocca,cattivo,,,,,,,,
Stella,cometa,punte,sole,gialla,brillare,,,,,,,,,
Scoreggia,Puzza,Aria,Culo,Schifo,Cacca,,,,,,,,,
Brindisi,città,Puglia,capodanno,mezzanotte,calici,,,,,,,,,
lira,soldi,euro,valuta,vecchia,cambio,,,,,,,,,
Musica,suonare,note,strumento,spartito,canzone,,,,,,,,,
voltare,girare,macchina,strada,sterzo,capitolo,,,,,,,,,
Simpson,Bart,Meggie,Marge,Homer,Cartone animato,,,,,,,,,
accogliere,benvenuto,lampedusa,ospitale,gentile,casa,accomodarsi,prego,,,,,,,
via,strada,civico,abitare,vai,casa,indirizzo,,,,,,,,
Principe,azzurro,ranocchio,mantello,cavallo,castello,,,,,,,,,
tavolo,gambe,legno,mangiare,sedie,cena,pranzo,,,,,,,,
Ruota,bicicletta,fortuna,gira,automobile,cerchio,,,,,,,,,
abito,monaco,vestito,elegante,indossare,cerimonia,da sera,,,,,,,,
Cin Cin,Salute,Brindisi,Bicchieri,Calici,Champagne,,,,,,,,,
Sole,astro,luce,raggi,giorno,cielo,,,,,,,,,
Bologna,torri,Asinelli,Emilia Romagna,piazza Maggiore,città,studi,,,,,,,,
Colli,bolognesi,montagne,monti,bassi,colline,,,,,,,,,
Trottola,girare,giocattolo,legno,cono,colorato,lanciare,pista,,,,,,,
Tulipano,Fiore,Prato,Profumo,Olanda,Colorato,,,,,,,,,
Ariete,segno,aprile,animale,costellazione,colpo,,,,,,,,,
vendere,comprare,acquistare,soldi,denaro,comprare,,,,,,,,,
dichiarare,ansa,dire,redditi,banca rotta,comunicare,politico,,,,,,,,
senso,direzione,significato,opposto,contrario,concetto,,,,,,,,,
Ballo,gran,danza,sera,ricevimento,coppia,,,,,,,,,
zia,moglie,fratello,sorella,parente,cugini,,,,,,,,,
zio,marito,sorella,fratello,parente,cugini,,,,,,,,,
lanciare,tirare,sferrare,pugno,esca,dardo,lancia,freccia,spada,,,,,,
Imprevedibile,Capire,Pensare,Sapere,Persona,Decidere,,,,,,,,,
Pocahontas,indiana,cartone,John Smith,albero,Disney,,,,,,,,,
genere,tipo,sesso,musicale,discriminaziioni,dna,uomo,donna,maschio,femmina,,,,,
Letto,Piazza,Lenzuola,Cuscino,Divano,Dormire,,,,,,,,,
Nucleare,reattore,nuculare,Homer,reazione,energia,,,,,,,,,
Spiderman,Uomo ragno,Ragnatela,Arrampicarsi,Marvel,Eroe,,,,,,,,,
Cavaliere,cavallo,armatura,zodiaco,duello,esercito,,,,,,,,,
leggero,pesante,piuma,peso,kili,esile,,,,,,,,,
accadere,avvenimento,incidente,capitare,succedere,evento,,,,,,,,,
differenza,razziale,somma,prodotto,divisione,fare,,,,,,,,,
volontà,forza,motivazione,intendere,avere,fare,,,,,,,,,
sangue,freddo,rosso,globuli,vene,ferita,,,,,,,,,
Carbonio,Chimica,Biossido,Organico,Elemento,Fibra,,,,,,,,,
Ariel,sirenetta,mare,Ursula,fondo,Flounder,,,,,,,,,
gente,plebe,volgo,umano,tanta,folla,persone,molti,articolo 31,J Ax,,,,,
zona,traffico,pericolo,area,inaccessibile,franca,,,,,,,,,
destro,mattia,mancino,sinistra,mano,gamba,attaccante,bologna,,,,,,,
Spongebob,Patrick,Spugna,Squiddy,Nikelodeon,Giallo,,,,,,,,,
Decameron,Boccaccio,Letteratura,Novelle,Scrittore,Giornate,,,,,,,,,
volgere,dare,mano,porgere,curva,girare,,,,,,,,,
Pirlo,Andrea,Milan,Juve,Punizioni,Goal,,,,,,,,,
generale,collina,vasco rossi,maresciallo,corpo di polizia,grado,specifica,comune,,,,,,,
Clessidra,tempo,sabbia,vetro,cronometro,granelli,,,,,,,,,
Gravità,Fatto,Newton,Mela,Accaduto,Grave,,,,,,,,,
accorgersi,sgamare,rendersi conto,notare,vedere,guardare,scorgere,,,,,,,,
lavoro,tempo,contratto,impegno,fatica,impiego,,,,,,,,,
Mago,Merlino,magia,cappello,punta,incantesimi,,,,,,,,,
Morte,vita,fine,vecchiaia,eutanasia,incidente,,,,,,,,,
Analisi,Logica,Matematica,Sangue,Statistica,Ingegneria,,,,,,,,,
gazzella,savana,veloce,snello,animale,ladra,leone,uccidere,rapida,adidas,,,,felino,
Scuola,Insegnamento,Imparare,Maestra,Alunno,Lavagna,,,,,,,,,
Unicorno,cavallo,quattro,cono,creatura,leggendario,,,,,,,,,
Castello,casa,medioevo,fossato,torri,levatoio,,,,,,,,,
Hermione,Granger,Harry Potter,Ron,strega,libro,,,,,,,,,
Clorofilla,Verde,Piante,Fotosintesi,Foglie,Linfa,,,,,,,,,
uomo,donna,adamo,maschio,padre,lui,sesso,genere,ragazzo,,,,,,
Nebbia,Vedere,Nord,Pianura,Fari,Macchina,,,,,,,,,
Pirandello,Il fu Mattia Pascal,Scrittore,Letteratura,Italiano,Maschera,,,,,,,,,
determinare,scegliere,scopo,obiettivo,selezionare,matrice,decidere,,,,,,,,
vestito,abito,sera,abbigliamento,elegante,matrimonio,indossare,,,,,,,,
voglia,gravidanza,dolce,desiderio,stanco,matta,,,,,,,,,
Rosa,colore,nome,fiore,spine,mazzo,,,,,,,,,
settimana,Dio,giorni,weekend,lunedì,mese,,,,,,,,,
spazio,tempo,universo,vitale,stanza,metri,,,,,,,,,
