Leonardo,nome, italiano, Ingegnere,Scienziato,Genio,Inventore,Disegnatore,Da Vinci,Di Caprio,Rignanese,
Giornata,Notte,Mattina,Ieri,Sera,Pomeriggio,Settimana,Domani,Oggi,
Scrittore,Scrivere,Saggista,Narratore,Sceneggiatore,Poeta,Drammaturgo,Libro,Romanziere,
Elefante,Gigante,Memoria,Orecchie,India,Avorio,Zanne,Proboscide,Grande,
Compagno,Fidato,Figlio,Fratello,Fidanzato,Scuola,Marito,Amico,Comunismo,
Anno,Dodici,Compleanno,Mese,Vita,Decennio,Mesi,Scorso,Tempo,
Spegnere,Macchina,Radio,Telefono,Fuoco,Accendere,Macchinario,Televisione,Computer,
Pietra,Roccia,Mattoni,Marmo,Arenaria,Granito,Minerale,Vulcanico,Sedimenti,
Sposare,Voti,Moglie,Fidanzare,Divorziare,Cerimonia,Proposta,Marito,Anello,
Stanco,Spossato,Febbre,Stufo,Sport,Allenamento,Affaticato,Sfinito,Muscoli,
Tagliare,Accoltellare,Lama,Coltello,Separare,Fetta,Cucina,Taglierino,Forbici,
Reale,Ricchezza,Famiglia,Principe,Regina,Sfarzo,Re,Imperatore,Nobile,
Aggiungere,Ingredienti,Diminuire,Sottrarre,Aumentare,Incrementare,Numero,Piú,Sommare,
Chiave,Parola,Cancello,Serratura,Mano,Porta,Mazzo,Baule,Scrigno,
Difficile,Arduo,Impossibile,Impegnativo,Complicata,Facile,Complicato,Difficoltoso,Semplice,
Insegnante,Scuola,Professore,Alunno,Docente,Studente,Università,Classe,Allievo,
Ampio,Ristretto,Stanza,Vasto,Grande,Minuscolo,Spazioso,Piccolo,Amplissimo,
Testa,Capo,Coda,Fasciarsi,Capelli,Volto,Schiena,Collo,Nuca,
Religioso,Indi,Cattolico,Musulmano,Temporale,Agnostico,Laico,Politico,Ateo,
Ammettere,Colpe,Confessare,Bugia,Giudizio,Peccato,Constatare,Dire,Affermare,
Cantante,Musicista,Musica,Chitarrista,Rapper,Frontman,Vocalist,Canto,Cantautore,
Ridere,Commedia,Divertirsi,Sbellicare,Battuta,Sghignazzare,Comico,Piangere,Scherzare,
Posto,Primo,Vincitore,Secondo,Piazzamento,Gara,Perdente,Ultimo,Terzo,
Ufficio,Scrivania,Acquisti,Qualità,Commerciale,Lavoro,Tenico,Computer,Segretario,
Sforzo,Sfida,Muscoli,Semplice,Slancio,Peso,Impegno,Fatica,Desiderio,
Aspettare,Tempo,Attesa,Attendere,Dottore,Aereo,Ritardo,Sala,Arrivo,
Spesa,Soldi,Alimenti,Sacchetto,Acquisto,Settimanale,Mercato,Negozio,Supermercato,
Convincere,Obbligare,Chiedere,Persuadere,Barattare,Costringere,Spingere,Indurre,Contrattare,
Prendere,Rubare,Sottrarre,Ottenere,Concedere,Pretendere,Dare,Acquistare,Afferrare,
Stazione,Treno,Viaggio,Ultima,Fermata,Valigia,Ferroviaria,Arrivo,Partenza,
Medusa,Pietra,Planctonico,Medusoide,Marino,Perseo,Capelli,Murena,Gelatina,
Latino,Musica,Cucina,Romano,Classico,Antico,Lingua,Greco,America,
Autore,Firma,Arte,Editore,Scrittore,Opera,Artista,Libro,Autografo,
